helm1	raw	helm2
326.793	749.622	209.685
327.202	751.255	211.925
328.843	752.07	212.015
328.888	755.172	212.193
328.973	758.234	212.803
329.313	758.456	212.828
329.337	760.26	214.137
329.593	761.781	214.343
329.608	761.886	214.588
329.814	762.857	214.613
330.556	763.846	215.419
331.476	763.937	215.545
331.525	764.042	215.726
332.155	764.298	215.898
332.345	765.544	216.072
332.637	766.475	216.25
332.832	769.972	216.408
333.761	770.449	216.758
333.867	775.036	217.308
333.905	781.761	217.344
334.139	786.239	217.497
334.407	786.467	217.805
334.477	788.944	217.872
335.354	790.28	219.047
336.638	791.795	220.048
336.745	797.655	220.099
336.926	801.243	220.225
337.016	802.332	220.839
338.694	803.269	220.857
338.787	803.374	221.127
339.231	803.447	221.225
339.386	805.203	221.362
341.144	805.32	221.417
341.939	809.182	221.627
341.957	816.39	222.056
344.527	816.903	222.072
345.062	819.612	222.075
345.43	826.145	222.416
346.103	826.68	222.587
346.261	828.721	222.692
346.602	829.239	223.287
346.647	833.336	223.608
346.815	833.495	223.852
346.905	834.698	224.097
346.928	837.947	224.386
347.089	838.462	224.527
347.711	842.272	224.597
347.84	846.582	224.889
348.178	846.71	225.384
348.622	847.484	225.63
349.436	849.638	225.66
349.859	849.838	226.02
349.953	852.905	226.831
351.491	853.396	226.868
351.565	854.858	226.959
352.263	855.899	228.271
352.465	855.954	228.659
353.696	856.875	228.753
354.133	856.915	228.761
354.741	857.056	228.919
355.098	859.113	229.45
355.478	859.394	230.081
355.58	860.955	230.158
355.604	864.326	230.708
356.466	865.194	230.922
356.715	866.343	231.224
357.344	868.064	231.267
357.647	870.134	231.476
357.676	870.343	231.73
357.867	871.72	231.933
358.222	872.317	232.263
358.491	872.871	232.349
359.977	873.257	233.258
360.007	874.526	233.899
361.115	877.991	233.952
361.392	878.211	234.779
361.994	878.252	234.895
362.025	878.409	235.37
362.62	879.099	236.009
363.995	879.504	236.094
364.879	882.232	236.148
366.718	883.35	236.322
367.074	885.079	236.344
367.397	888.781	236.613
367.518	893.414	236.731
367.814	893.751	236.736
368.728	893.889	237.292
369.87	899.78	237.717
370.95	903.128	238.805
371.235	905.356	239.471
371.67	909.356	239.707
371.738	912.715	240.03
373.589	913.089	240.087
373.922	913.835	240.099
373.962	914.51	240.962
374.151	916.222	241.118
374.278	916.523	241.175
374.83	916.814	241.44
375.15	917.242	241.709
375.272	919.907	242.668
376.062	920.337	243.024
376.133	925.871	243.739
376.732	930.74	244.462
378.069	930.869	244.59
378.839	933.888	244.711
378.846	934.409	245.026
378.924	935.91	245.145
379.524	937.587	246.854
380.256	939.359	247.071
380.833	942.276	247.295
380.939	946.221	247.728
381.684	946.844	247.88
