max, 1.0921, 0.2325, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 2.5648, 2.5648, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 1.5799, 0.99, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 2.2072, 2.2072, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.453, 0.5578, t, xx, xx, xx, xx, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 1.7419, 1.7419, t, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, cch
sum, 2.4712, 0.0325, t, xx, xx, xx, xx, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 1.1806, 1.1806, t, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, cCH
max, 2.2804, 0.4085, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 2.3398, 2.3398, xx, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, cch
max, 2.2894, 2.2894, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 1.5307, 1.5307, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 2.5936, 2.5936, xx, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, cch
max, 3.526, 3.526, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, CCH
sum, 2.4481, 2.4481, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.6531, 1.6531, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 2.6521, 0.4771, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 1.4257, 0.4706, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 2.4766, 0.7996, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 3.4105, 0.9699, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 3.3316, 3.3316, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
sum, 1.6906, 0.9746, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 2.2231, 0.119, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 2.9653, 2.9653, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 3.3934, 0.5056, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 2.4904, 0.0546, t, t, xx, xx, xx, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 3.5743, 0.6356, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 3.9874, 3.9874, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
max, 1.9426, 1.9426, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.1094, 2.1094, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.3205, 3.3205, t, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, CCH
max, 2.2282, 0.5264, t, xx, xx, xx, xx, t, t, xx, t, t, xx, xx, xx, xx, f, cch
max, 2.0716, 0.1901, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 3.115, 3.115, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 3.6184, 3.6184, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, Cch
max, 2.9344, 2.9344, t, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
max, 3.6115, 3.6115, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
sum, 1.0306, 0.9554, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 3.1495, 3.1495, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, Cch
sum, 1.1026, 0.6988, t, xx, xx, xx, xx, t, t, xx, t, t, xx, xx, xx, xx, f, cCH
sum, 2.7151, 0.0959, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 2.8672, 2.8672, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 2.7667, 2.7667, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 2.3311, 0.8298, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 1.5685, 1.5685, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 1.8616, 0.1384, xx, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cCH
max, 2.0188, 2.0188, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 3.5329, 3.5329, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 2.8486, 2.8486, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 2.9971, 2.9971, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 1.9363, 1.9363, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.7231, 3.7231, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 2.6095, 2.6095, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cCH
sum, 3.0079, 3.0079, t, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, CCH
max, 3.7669, 0.0848, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 1.4083, 1.4083, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 3.9469, 0.6363, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 3.802, 3.802, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
max, 3.6805, 0.835, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cCH
max, 2.4655, 0.8236, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 1.2556, 1.2556, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
sum, 2.8054, 2.8054, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.5906, 0.7053, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cCH
sum, 3.3076, 0.5337, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 3.7279, 0.5915, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 3.4066, 3.4066, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 3.1648, 3.1648, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 3.7636, 3.7636, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 3.9859, 0.0665, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cCH
sum, 1.3732, 0.7348, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 3.7594, 3.7594, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 1.1575, 1.1575, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 3.3973, 3.3973, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
max, 2.4592, 2.4592, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 2.8171, 2.8171, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.2893, 0.893, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 3.5128, 0.0116, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 1.7677, 1.7677, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
