---------------------------------------------
Summary of N-way cross validation experiments
---------------------------------------------
	Data file: 10000 cases * 17 attributes

	Parameter: granularity = 5
	           promising = 0
	           nChanges = 2
	           skew = 20 (means: bestClass= 5.00%)


worthOnData=2.589410 worthOnTest=2.591124 ['from(design)/to(design)'=[41.939999..52.459999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.591231 worthOnTest=2.586627 ['from(requirements)/to(deployment)'=[0.220000..0.380000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592413 worthOnTest=2.583894 ['from(programming)/to(integration)'=[25.889999..32.570000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593926 worthOnTest=2.600388 ['from(programming)/to(programming)'=[119.470001..148.399994)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594236 worthOnTest=2.593348 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594389 worthOnTest=2.592650 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594783 worthOnTest=2.597131 ['from(design)/to(integration)'=[3.130000..4.020000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594805 worthOnTest=2.588539 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597882 worthOnTest=2.597131 ['from(requirements)/to(programming)'=[2.520000..3.240000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598678 worthOnTest=2.577470 ['from(programming)/to(programming)'=[148.399994..203.720001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.599171 worthOnTest=2.585352 ['from(design)/to(programming)'=[7.130000..9.090000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.599402 worthOnTest=2.575831 ['from(requirements)/to(design)'=[3.140000..4.030000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.599454 worthOnTest=2.598569 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.609356 worthOnTest=2.608439 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 4: Treatments=14 -----
worthOnData=2.557809 worthOnTest=2.606336 ['from(design)/to(design)'=[52.369999..77.930000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.589244 worthOnTest=2.597057 ['from(design)/to(design)'=[41.869999..52.369999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.590833 worthOnTest=2.597747 ['from(programming)/to(integration)'=[25.889999..32.580002)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592566 worthOnTest=2.607732 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592926 worthOnTest=2.602090 ['from(design)/to(deployment)'=[1.060000..1.370000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593261 worthOnTest=2.601722 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593796 worthOnTest=2.602777 ['from(design)/to(integration)'=[3.100000..3.980000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594116 worthOnTest=2.600576 ['from(programming)/to(programming)'=[119.250000..148.309998)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596420 worthOnTest=2.602090 ['from(requirements)/to(design)'=[3.150000..4.040000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596696 worthOnTest=2.595369 ['from(programming)/to(programming)'=[148.309998..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597276 worthOnTest=2.602209 ['from(design)/to(programming)'=[7.130000..9.090000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598953 worthOnTest=2.603163 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.598963 worthOnTest=2.593718 ['from(requirements)/to(programming)'=[2.510000..3.230000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.608994 worthOnTest=2.611699 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 5: Treatments=16 -----
worthOnData=2.536203 worthOnTest=2.352956 ['from(design)/to(design)'=[52.439999..77.930000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.589633 worthOnTest=2.595098 ['from(design)/to(design)'=[41.910000..52.439999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.590273 worthOnTest=2.595371 ['from(requirements)/to(deployment)'=[0.220000..0.380000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.590605 worthOnTest=2.591853 [defectDensity=[16.000000..27.000000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592719 worthOnTest=2.587034 ['from(programming)/to(integration)'=[25.959999..32.639999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593405 worthOnTest=2.600833 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593945 worthOnTest=2.596529 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594452 worthOnTest=2.591295 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
